Species,obs,flower_part,Length,Width
virginica,102,Sepal,5.8,2.7
virginica,103,Sepal,7.1,3.0
virginica,104,Sepal,6.3,2.9
virginica,105,Sepal,6.5,3.0
virginica,106,Sepal,7.6,3.0
virginica,107,Sepal,4.9,2.5
virginica,108,Sepal,7.3,2.9
virginica,109,Sepal,6.7,2.5
virginica,110,Sepal,7.2,3.6
virginica,111,Sepal,6.5,3.2
virginica,112,Sepal,6.4,2.7
virginica,113,Sepal,6.8,3.0
virginica,114,Sepal,5.7,2.5
virginica,115,Sepal,5.8,2.8
virginica,116,Sepal,6.4,3.2
virginica,117,Sepal,6.5,3.0
virginica,118,Sepal,7.7,3.8
virginica,119,Sepal,7.7,2.6
virginica,120,Sepal,6.0,2.2
virginica,121,Sepal,6.9,3.2
virginica,122,Sepal,5.6,2.8
virginica,123,Sepal,7.7,2.8
virginica,124,Sepal,6.3,2.7
virginica,125,Sepal,6.7,3.3
virginica,126,Sepal,7.2,3.2
virginica,127,Sepal,6.2,2.8
virginica,128,Sepal,6.1,3.0
virginica,129,Sepal,6.4,2.8
virginica,130,Sepal,7.2,3.0
virginica,131,Sepal,7.4,2.8
virginica,132,Sepal,7.9,3.8
virginica,133,Sepal,6.4,2.8
virginica,134,Sepal,6.3,2.8
virginica,135,Sepal,6.1,2.6
virginica,136,Sepal,7.7,3.0
virginica,137,Sepal,6.3,3.4
virginica,138,Sepal,6.4,3.1
virginica,139,Sepal,6.0,3.0
virginica,140,Sepal,6.9,3.1
virginica,141,Sepal,6.7,3.1
virginica,142,Sepal,6.9,3.1
virginica,143,Sepal,5.8,2.7
virginica,144,Sepal,6.8,3.2
virginica,145,Sepal,6.7,3.3
virginica,146,Sepal,6.7,3.0
virginica,147,Sepal,6.3,2.5
virginica,148,Sepal,6.5,3.0
virginica,149,Sepal,6.2,3.4
virginica,150,Sepal,5.9,3.0
